Renewable,Type of Source,Year,اشتراک,امور,اشتراک برق,Basin,Shahrestan,Section,id,MA_XUTM,MA_YUTM,عمق چاه,دبي,ساعت کارکرد,اضافه کسربرداشت,تخليه مترمکعب,نوع چاه,Type of use,نيرو محرکه,وضعيت چاه,Value,کنتور هوشمند
تجدید پذیر,زیرزمینی,1402-03,519208,آب مشهد,0,مشهد - چناران,مشهد,4,109,720512,4051069,30,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,519224,آب مشهد,555828,مشهد - چناران,مشهد,4,110,713555,4039384,83,2,4256,0,30643,عميق,صنعتي,برقي,غيرمجاز,0.030643,ندارد
تجدید پذیر,زیرزمینی,1402-03,519238,آب مشهد,0,مشهد - چناران,مشهد,4,111,710027,4042617,75,3,4256,0,45965,عميق,دام و طيور,ديزلي,غيرمجاز,0.045965,ندارد
تجدید پذیر,زیرزمینی,1402-03,519248,آب مشهد,550098,مشهد - چناران,مشهد,4,112,709589,4042996,57,2.3,2730,0,22604,عميق,دام و طيور,برقي,غيرمجاز,0.022604,ندارد
تجدید پذیر,زیرزمینی,1402-03,519269,آب مشهد,0,مشهد - چناران,مشهد,4,113,724913,4022270,90,0.5,4256,0,7661,عميق,خدمات,ديزلي,غيرمجاز,0.007661,ندارد
تجدید پذیر,زیرزمینی,1402-03,519301,آب مشهد,0,مشهد - چناران,مشهد,4,114,716538,4045211,20,2,4256,0,30643,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.030643,ندارد
تجدید پذیر,زیرزمینی,1402-03,525197,آب مشهد,0,مشهد - چناران,مشهد,4,115,742509,4038183,100,1.5,4256,0,22982,عميق,كشاورزي,ديزلي,غيرمجاز,0.022982,ندارد
تجدید پذیر,زیرزمینی,1402-03,525202,آب مشهد,0,مشهد - چناران,مشهد,4,116,768208,4035845,17,1,4256,0,15322,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.015322,ندارد
تجدید پذیر,زیرزمینی,1402-03,525203,آب مشهد,0,مشهد - چناران,مشهد,4,117,716033,4054911,40,2.5,4256,0,38304,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.038304,ندارد
تجدید پذیر,زیرزمینی,1402-03,525204,آب مشهد,0,مشهد - چناران,مشهد,4,118,768407,4035389,12,2,4256,0,30643,نيمه عميق,كشاورزي,ديزلي,غيرمجاز,0.030643,ندارد
